Date,Close
2021-03-22,-5.0
2021-03-23,-5.0
2021-03-24,-5.0
2021-03-25,-5.0
2021-03-26,-5.0
2021-03-27,-5.0
2021-03-28,-5.0
2021-03-29,-5.0
2021-03-30,-5.0
2021-03-31,-5.0
2021-04-01,15.0
2021-04-02,15.0
2021-04-03,15.0
2021-04-04,15.0
2021-04-05,15.0
2021-04-06,15.0
2021-04-07,15.0
2021-04-08,15.0
2021-04-09,15.0
2021-04-10,15.0
2021-04-11,15.0
2021-04-12,5.0
2021-04-13,5.0
2021-04-14,5.0
2021-04-15,5.0
2021-04-16,5.0
2021-04-17,5.0
2021-04-18,5.0
2021-04-19,5.0
2021-04-20,5.0
2021-04-21,5.0
2021-04-22,5.0
