Date,Close
2021-03-22,0.0
2021-03-23,1.9866933079506122
2021-03-24,3.8941834230865053
2021-03-25,5.6464247339503535
2021-03-26,7.173560908995228
2021-03-27,8.414709848078965
2021-03-28,9.320390859672262
2021-03-29,9.854497299884601
2021-03-30,9.99573603041505
2021-03-31,9.738476308781951
2021-04-01,9.092974268256818
2021-04-02,8.084964038195901
2021-04-03,6.75463180551151
2021-04-04,5.155013718214642
2021-04-05,3.349881501559051
2021-04-06,1.4112000805986722
2021-04-07,-0.5837414342758008
2021-04-08,-2.5554110202683122
2021-04-09,-4.425204432948525
2021-04-10,-6.118578909427189
2021-04-11,-7.5680249530792825
2021-04-12,-8.715757724135882
2021-04-13,-9.51602073889516
2021-04-14,-9.936910036334645
2021-04-15,-9.961646088358407
2021-04-16,-9.589242746631385
2021-04-17,-8.83454655720153
2021-04-18,-7.7276448755598715
2021-04-19,-6.3126663787232165
2021-04-20,-4.646021794137574
2021-04-21,-2.7941549819892586
2021-04-22,-0.8308940281749639
